idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
NA,yes,NA,1717241064,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Beni Abbes,NA,NA,skin & bones,NA
NA,yes,NA,1717241066,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,NA,NA,skin & bones,NA
NA,yes,NA,1717241068,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,NA,NA,skin & bones,NA
NA,yes,NA,1717241070,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Beni Abbes,NA,NA,skin & bones,NA
NA,yes,NA,1717241072,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Brezina,NA,NA,skin & bones,NA
NA,yes,NA,1717241101,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,NA,NA,skin & bones,NA
NA,yes,NA,1717241102,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,NA,NA,skin,NA
NA,yes,NA,1717241128,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,NA,NA,uncomplete skeleton,NA
NA,yes,NA,1919785473,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1912.11.14.2,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,"El Golea, Algerian Sahara /",NA,NA,NA,NA
NA,yes,NA,1919803765,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1912.11.14.1,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,"El Golea, Algerian Sahara.",NA,NA,NA,NA
yes,yes,00ced37b-037b-4cd2-bca8-be98a3a099e2,1044031136,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1992-1886,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Massif des Aurès,NA,NA,NA,NA
yes,yes,0fd5944c-e456-4169-9357-44f6ee0feb68,1044026395,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-880,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Sahara touareg,NA,NA,NA,NA
yes,yes,121139e8-bc36-40f4-91fa-0e35e1ef99f6,1044026394,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-879,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,Sahara touareg,NA,NA,NA,NA
yes,yes,23287e29-daf0-45d0-ae9e-035675ca6d23,1044026384,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-869,"asellia tridens geoffroy saint-hilaire e., 1813","Asellia tridens (E.Geoffroy, 1813)",algérie,NA,NA,NA,"Hassi Fokra, Béni-Abbès",NA,NA,NA,NA
