idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,db3f9475-9faf-4c05-a709-f2b996df4479,1320402894,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,283290,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,al qahirah,NA,NA,"Cairo Area, Saqqara Pyramids",1947,NA,Skin; Skull,NA
yes,yes,f7801400-6a25-438d-a4e3-9de2a33efe34,1320653396,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,283288,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,al qahirah,NA,NA,"Cairo Area, Saqqara Pyramids",1947,NA,Skin; Skull,NA
yes,yes,f7989864-e742-477d-b763-799b013c6387,1318722310,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,282402,rhinopoma hardwickii,"Rhinopoma hardwickii Gray, 1831",egypt,al qahirah,NA,NA,"Cairo, 8 Mi SW, The Pyramids",1946,NA,Skull,NA
yes,NA,d40cb64f-d9e5-48c4-83c2-17ae987c9448,NA,497d74c2-d07f-4325-ac9c-8e80bcb53f61,NA,anwc,mammals,m04409,rhinopoma hardwickii,NA,egypt,cairo,not applicable,NA,"CAIRO, EGYPT",NA,NA,body in spirit,NA
yes,NA,22404b6e-cb70-4704-8391-5d9024c7f2f9,NA,2d94a3ac-f505-49ec-98e7-3b7dc48344dd,NA,ummz,mammals,157595,rhinopoma hardwickii cystops,NA,egypt,faiyum,NA,NA,"KSAR KARUM, DIONYSUS TEMPLE",NA,NA,FLUID-ALCOHOL - 1,NA
yes,NA,2fb25ed1-763e-403e-bf73-90bdd70a6231,NA,2d94a3ac-f505-49ec-98e7-3b7dc48344dd,NA,ummz,mammals,157594,rhinopoma hardwickii cystops,NA,egypt,faiyum,NA,NA,"KSAR KARUM, DIONYSUS TEMPLE",NA,NA,FLUID-ALCOHOL - 1,NA
yes,NA,aa242cc6-7c1b-4a5e-8bfc-8f4abec89c8a,NA,2d94a3ac-f505-49ec-98e7-3b7dc48344dd,NA,ummz,mammals,157593,rhinopoma hardwickii cystops,NA,egypt,faiyum,NA,NA,"KSAR KARUM, DIONYSUS TEMPLE",NA,NA,FLUID-ALCOHOL - 1,NA
yes,yes,1cfc8f4f-68c0-4884-9d57-66d51b83d062,859496305,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-244134,rhinopoma hardwickei,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Dendera Temple,1978,NA,"Fluid, Whole Body, With Skin",NA
yes,yes,256c3c58-9c4b-4520-9b1b-5cb51dce058a,1320699833,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,294121,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,"Sakara, Tombs",1950,NA,Fluid,NA
yes,NA,5ab44fcf-682a-4ea1-8bda-d19bf2230b5f,NA,2d94a3ac-f505-49ec-98e7-3b7dc48344dd,NA,ummz,mammals,118401,rhinopoma hardwickii cystops,NA,egypt,NA,NA,NA,N/A,NA,NA,SKULL - 1|SKELETON - 1,NA
yes,yes,6c72b42d-3451-4100-9693-5859ec0b4b11,1319118220,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,294120,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,"Sakara, Tombs",1950,NA,Fluid,NA
yes,yes,7c385298-60b5-4407-b134-670666dd5bd7,1317999214,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,294123,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,"Sakara, Tombs",1950,NA,Fluid,NA
yes,yes,a9697560-260b-4d99-bb40-2802b3c84e64,859496300,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-244133,rhinopoma hardwickei,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Dendera Temple,1978,NA,"Fluid, Whole Body, With Skin",NA
yes,yes,d1d6d432-6fe7-4abc-9332-56b355df9e40,1319431168,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,294122,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,"Sakara, Tombs",1950,NA,Fluid,NA
NA,yes,NA,1919693176,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.170,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693178,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.183,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693182,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.171,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693191,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.162,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693195,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.163,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693196,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.178,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693209,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.180,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693212,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.182,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693214,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.179,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
NA,yes,NA,1919693215,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,zd 1993.174,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,near Luxor,1901,NA,NA,NA
