idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,2c4427d6-e17d-4c21-9724-aeb907f91cd7,1319777143,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153876,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Pulo Bauwal, Small Islet NE Of",1908,NA,Fluid,NA
yes,yes,2c62b4c3-1791-4265-b620-f917fd2ce726,1322536211,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,145654,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Pulo Lamukutan,1907,NA,Skull; Remainder in Fluid,NA
yes,yes,2c8843a6-dbdd-4cad-950b-f975dddb3427,476840067,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,12829,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,skin (dry),NA
yes,yes,2e32f257-a80a-4482-8ce3-0de94bfd52a9,1319209092,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125173,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,2f0da18f-da6d-4810-9645-958d4a95cd4d,1322613046,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171754,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,301ac96f-6a81-4e31-938c-e4781b6985c3,476809401,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13826,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,34a73962-7a34-4eac-bb1a-e1170dd82965,1320588678,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171729,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,352d4137-bc80-4f1d-95f0-c69b0754b65d,1318022528,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125160,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,36b0f6d6-cbdc-458b-a56a-4357a7651ea5,1319091194,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153879,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Batu Jurong,1908,NA,Fluid,NA
yes,yes,3749e088-a914-4137-bbd1-fc5672f1d0bb,1321017827,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,155735,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Banter, Gehang",1909,NA,Skin; Skull,NA
yes,yes,3856ac0a-bfdd-4711-ab3d-ac455629ada9,476862706,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13820,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,39145af5-554b-4d73-a28e-d8f3fb1f5166,1322962343,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171737,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,39860dfd-f176-4a22-9be4-ca0e88b71961,1322013357,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,145657,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Pulo Lamukutan,1907,NA,Skull; Remainder in Fluid,NA
yes,yes,3a2c6269-922c-475c-b002-25f8f2a53b6b,476840095,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,12836,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,skin (dry),NA
yes,yes,3ae643f9-b898-4365-bdd9-dc09a8c4e360,1319215895,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,219345,megaderma spasma celebensis,"Megaderma spasma celebensis Shamel, 1940",indonesia,NA,NA,NA,Pinedapa,1918,NA,Skin; Skull,NA
yes,yes,3c5a7f27-bf48-4758-9068-ec1ad6e94e9e,476850407,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13813,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,3f309e98-c855-47b6-b6d3-a4adaf0540e9,1318220025,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171721,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,4026088a-2eee-4587-958e-4274dd6aa8c9,1319226803,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153868,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Pulo Bauwal, Small Islet NE Of",1908,NA,Fluid,NA
yes,yes,40db0b82-06aa-4550-9467-026f34a9239b,1318016328,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171720,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,44839e76-02b6-4e62-af47-261c47c6eaae,476840156,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13815,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,46e26e42-f3a7-4eca-8481-bf9938d88b10,476840128,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13810,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,4705a448-e19d-47e5-a2ca-1146f8bddd50,476821633,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13829,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,4741a57e-88fb-4bca-80f6-0466d593907d,476809337,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13816,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,4cefa586-16d4-476c-9129-73756aa40407,476840124,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13805,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,4da64121-3bd6-484d-8411-7a1cee79764c,476861002,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13828,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,4dccfd62-4592-43ca-af9a-549e7f38a4ff,476840127,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13808,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,4fe0023d-2dca-44c9-8310-d8a911115948,476840096,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,12837,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,skull (dry); skin (dry),NA
yes,yes,500958b7-656b-4fbe-9f09-403211e9f98d,1321549304,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,217080,megaderma spasma celebensis,"Megaderma spasma celebensis Shamel, 1940",indonesia,NA,NA,NA,Likoepang,1916,NA,Fluid,NA
yes,yes,5128dcec-8039-49d1-8824-f592456c994d,1318281281,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125172,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
yes,yes,5247833e-19eb-478d-b3b6-66b50dfebe8d,1317779156,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,171755,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,Fluid,NA
yes,yes,54cba85e-32af-4b35-9aea-e9d6afa78370,476840157,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13818,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija (?),1700,NA,whole animal (ethanol),NA
yes,yes,5863c5eb-63ee-4463-804e-e79c4aebfb5b,476840130,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13812,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,5b4a2a01-a822-44a1-b0b1-df3d1241efb3,476840199,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,13823,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,Tamandjaija,1910,NA,whole animal (ethanol),NA
yes,yes,607781bf-3a37-4d8e-989d-53ed1d603bde,1322674613,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,153874,megaderma spasma trifolium,"Megaderma spasma trifolium E.Geoffroy, 1810",indonesia,NA,NA,NA,"Pulo Bauwal, Small Islet NE Of",1908,NA,Fluid,NA
yes,yes,607ee0a0-82ae-43dc-9513-dda2e3423ab5,1318700701,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,125165,megaderma spasma carimatae,"Megaderma spasma carimatae Miller, 1906",indonesia,NA,NA,NA,"Karimata Islands, Karimata Tua; Tanjong",1904,NA,Fluid,NA
