Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Rhinolophidae,Rhinolophus,,horaceki,"Benda & Vallo",2012,0,Vespertilio,"16: 84","Hor&aacute;&ccaron;ek's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,imaizumii,"Hill & Yoshiyuki",1980,0,"Bull. Natl. Sci. Mus. Tokyo, ser. A (Zool.)","6: 180","Imaizumi's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,inops,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 16: 284, 651","Philippine Forest Horseshoe Bat"
Rhinolophidae,Rhinolophus,,kahuzi,"Fahr & Kerbis Peterhans",2013,0,"Bonn Zool Bull","62: 2","Kahuzi Horseshoe Bat"
Rhinolophidae,Rhinolophus,,keyensis,Peters,1871,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1871: 307","Kai Horseshoe Bat"
Rhinolophidae,Rhinolophus,,landeri,Martin,1838,0,"Proc. Zool. Soc. Lond.","1837: 101","Lander's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,lanosus,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 16: 248","Wooly Horseshoe Bat"
Rhinolophidae,Rhinolophus,,lepidus,Blyth,1844,0,"J. Asiat. Soc. Bengal","13: 486","Blyth's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,lobatus,Peters,1852,0,"Reise nach Mossambique","3: p. 41, pl. 9, pl. 13","Lobed Horseshoe Bat"
Rhinolophidae,Rhinolophus,,luctoides,"Volleth, Loidl, Mayer, Yong, M&uumlller, & Heller",2015,0,"Acta Chiropterol.","17(1): 4","Luctus-like Horseshoe Bat"
Rhinolophidae,Rhinolophus,,luctus,Temminck,1834,0,"Tijdschrift Natuurl. Gesch. Physiol.","1: 23","Woolly Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mabuensis,"Taylor, Stoffberg, Monadjem, Schoeman, Bayliss & Cotterill",2012,0,"PLoS ONE","7(9): 17","Mount Mabu Horseshoe Bat"
Rhinolophidae,Rhinolophus,,maclaudi,Pousargues,1897,0,"Bull. Mus. Natn. Hist. Nat. Paris","3: 358","Maclaud's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,macrotis,Blyth,1844,0,"J. Asiat. Soc. Bengal","13: 485","Big-eared Horseshoe Bat"
Rhinolophidae,Rhinolophus,,madurensis,"K. Andersen",1918,0,"Ann. Mag. Nat. Hist.","ser. 9, 2: 375","Madura Horseshoe Bat"
Rhinolophidae,Rhinolophus,,maendeleo,"Kock, Csorba & Howell",2000,0,"Senkenbergiana Biol.","80: 234","Maendeleo Horseshoe Bat"
Rhinolophidae,Rhinolophus,,malayanus,Bonhote,1903,0,"In N. Annandale, Fasciculi Malayenses, Zool.","1: 15","Malayan Horseshoe Bat"
Rhinolophidae,Rhinolophus,,marshalli,Thonglongya,1973,0,Mammalia,"37: 590","Marshall's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mcintyrei,"Hill & Schlitter",1982,0,"Ann. Carnegie Mus.","51: 459","McIntyre's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,megaphyllus,Gray,1834,0,"Proc. Zool. Soc. Lond.","1834: 52","Smaller Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mehelyi,Matschie,1901,0,"Sitzb. Ges. Naturf. Fr. Berlin","p. 225","Mehely's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,microglobosus,"Csorba & Jenkins",1998,0,"Bulletin of the Natural History Museum, London (Zoology),","64(2): 208","Indo-Chinese Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mitratus,Blyth,1844,0,"J. Asiat. Soc. Bengal","13: 483","Mitred Horseshoe Bat"
Rhinolophidae,Rhinolophus,,monoceros,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","1905(2): 131","Formosan Lesser Horseshoe Bat"
Rhinolophidae,Rhinolophus,,montanus,Goodwin,1979,0,"Bull. Amer. Mus. Nat. Hist.","163: 112","Timorese Horseshoe Bat"
Rhinolophidae,Rhinolophus,,monticolus,"Soisook, Karapan, Srikrachang, Dejtaradol, Nualcharoen, Bumrungsi, Oo, Aung, Bates, Harutyunan, B&uacute;s, & Bogdanowicz",2016,0,"Acta Chiropterol.","18(1): 118","Mountain Horseshoe Bat"
Rhinolophidae,Rhinolophus,,morio,Gray,1842,0,"Ann. Mag. Nat. Hist.","ser. 10, 65: 257","Jester's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mossambicus,"Taylor, Stoffberg, Monadjem, Schoeman, Bayliss & Cotterill",2012,0,"PLoS ONE","7(9): 19","Mozambican Horseshoe Bat"
Rhinolophidae,Rhinolophus,,nereis,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","1905: 90","Anamban Horseshoe Bat"
Rhinolophidae,Rhinolophus,,osgoodi,Sanborn,1939,0,"Field Mus. Nat. Hist. Publ., Zool. Ser.","24: 40","Osgood's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,pearsonii,Horsfield,1851,0,"Cat. Mamm. Mus. E. India Co.","p. 33","Pearson's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,perditus,Andersen,1918,0,"Ann. Mag. Nat. Hist.","ser. 9, 2: 377","Yaeyama Horseshoe Bat"
Rhinolophidae,Rhinolophus,,philippinensis,Waterhouse,1843,0,"Proc. Zool. Soc. Lond.","1843: 68","Large-eared Horseshoe Bat"
Rhinolophidae,Rhinolophus,,proconsulis,Hill,1959,0,"Ann. Mag. Nat. Hist.","ser. 13, 2:","Proconsul's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,pusillus,Temminck,1834,0,"Tijdschr. Nat. Gesch. Physiol.","1: 29","Least Horseshoe Bat"
Rhinolophidae,Rhinolophus,,refulgens,Anderson,1906,0,"Proc. Zool. Soc. Lond.","2: 124","Lander's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,rex,"G. M. Allen",1923,0,"Am. Mus. Novitates","85: 3","King Horseshoe Bat"
Rhinolophidae,Rhinolophus,,rhodesiae,Roberts,1946,0,"Ann. Transvaal Mus.","20(4): 304","Rhodesian Horseshoe Bat"
Rhinolophidae,Rhinolophus,,robinsoni,"K. Andersen",1918,0,"Ann. Mag. Nat. Hist.","ser. 9, 2: 375","Peninsular Horseshoe Bat"
Rhinolophidae,Rhinolophus,,rouxii,Temminck,1835,0,"Monogr. Mamm.","2: 30<i>b</i>","Rufous Horseshoe Bat"
Rhinolophidae,Rhinolophus,,rufus,"Eydoux & Gervais",1836,0,"In Laplace, Voy. autour du monde par les mers de l'Inde...la Favorite","5(Zoologie)(pt. 2): 9","Large Rufous Horseshoe Bat"
Rhinolophidae,Rhinolophus,,ruwenzorii,Hill,1942,0,"Amer. Mus. Novit.","1180: 1","Ruwenzori Horseshoe Bat"
Rhinolophidae,Rhinolophus,,sakejiensis,Cotterill,2002,0,"J. Zool.","256: 166","Sakeji Horseshoe Bat"
Rhinolophidae,Rhinolophus,,schnitzleri,"Wu & Thong",2011,0,"Zool. Sci.","28: 236","Schnitzler&apos;s Horseshoe Bat"
Rhinolophidae,Rhinolophus,,sedulus,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 16: 244, 247","Lesser Wooly Horseshoe Bat"
Rhinolophidae,Rhinolophus,,septentrionalis,Sanborn,1939,0,"Field Mus. Nat. Hist. Publ., Zool. Ser.","24(5): 40","Northern Horseshoe Bat"
Rhinolophidae,Rhinolophus,,shameli,Tate,1943,0,"Am. Mus. Novitates","1219: 3","Shamel's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,shortridgei,"K. Andersen",1918,0,"Ann. Mag. Nat. Hist.","ser. 9, 2: 376","Shortridge's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,siamensis,Gyldenstolpe,1917,0,"Kungliga Svenska VetenskAkad. Handl.","57: 12","Thai Horseshoe Bat"
Rhinolophidae,Rhinolophus,,silvestris,Aellen,1959,0,"Arch. Sci. Phys. Nat. Geneve","12: 228","Forest Horseshoe Bat"
Rhinolophidae,Rhinolophus,,simulator,"K. Andersen",1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 14: 384","Bushveld Horseshoe Bat"
Rhinolophidae,Rhinolophus,,sinicus,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","2: 98","Chinese Rufous Horseshoe Bat"
